"ANO","ENERO","FEBRE","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOST","SEPTI","OCTUB","NOVIE","DICIE"
"1992","-999.999","-999.999","-999.999","-999.999","-999.999","21.7","18.7","34.6","44.3","5.9","96.1","40.1"
"1993","16.3","30.4","66.5","68.4","128.8","33.1","59.5","19.4","28.3","40.5","162.9","20.2"
"1994","30.5","57.1","72.3","122.1","60.5","81.7","26","34.7","22.9","165.1","78.3","3.1"
"1995","0.6","9.4","67.9","102.7","52.5","65.6","75.5","131.3","24","61","110.2","115.8"
"1996","42.4","41.2","58.7","128.1","97.6","53.5","46.2","-999.999","-999.999","-999.999","61.9","49.5"
"1997","67.9","37.7","22.9","57","46.3","28.8","30.7","9.7","30.9","42.2","55","6.6"
"1998","0.6","10.2","41.4","74.2","120.2","89.4","88.3","104.8","37.3","87","67.1","75.6"
"1999","14.3","50.1","55.9","71","54.9","96","42.2","40.7","133.2","117.6","66.2","44"
"2000","13.3","58.4","111.6","93.8","100.3","81.1","70.7","46","82.9","111","55.4","19.5"
"2001","0","9.7","64.2","3.8","69.2","47.2","26.9","10.6","53.9","96.8","68.3","23.3"
"2002","6.6","23.3","112.1","169.7","95.8","49.5","36.2","35.8","40.4","58.4","58.4","13.1"
"2003","0","17.6","46.7","81.9","50","58.6","43.2","25.2","86.6","165.5","88.7","37.3"
"2004","2.9","32.5","31.3","134","129","-999.999","52.8","35.1","74.8","107.7","61.7","13.2"
"2005","38","15.6","14.8","62.7","105.7","28.9","49.5","40.1","45.3","134.1","89.6","52"
"2006","62.7","6.2","124.5","180.5","60.6","118.7","35.1","14.9","43.2","133.6","104.9","42.9"
"2007","4","12.2","51.3","143.2","67.3","42.8","62.9","93.2","16.3","157.1","73.2","64.6"
"2008","12.1","18.1","31.1","73.9","119.2","49.3","39.6","102.1","63.4","62.1","176.5","44.3"
"2009","32","33.6","60.6","85.2","83.8","103.1","19","47.8","16.7","139","57.9","18.1"
"2010","4.6","20.1","20.9","145.5","117.4","91.9","136","17.6","51.7","84.6","127.1","72.9"
"2011","3.6","58","124.9","217.7","139.5","54.6","68.3","38.3","-999.999","-999.999","-999.999","-999.999"
"2012","14.5","9","41.5","123","15","140","212","73","14","56.5","43.1","24.7"
"2013","2","48.4","-999.999","-999.999","-999.999","42","53.2","44","11.7","102.4","133.1","49.5"
"2014","0","13","20.3","72.2","-999.999","29.4","41.4","25.7","18.1","84.7","92.1","69.9"
"2015","28","41.5","98.2","81.7","27.4","51.3","73.2","30.2","16.5","25","71.2","5.4"
"2016","11.2","6.1","28.1","97.2","-999.999","27.5","10.7","54.1","-999.999","-999.999","-999.999","-999.999"
